,year,descripcion,Combustible:,Cilindrada:,Transmisión:,Estilo:,Color Exterior:,Color Interior:,Placa:,Provincia:
0,2000,Chevrolet SPARK • 5 Pas.,Gasolina,800 cc,Manual,Hatchback,MOSTAZA,NEGRO,Termina en 1,Alajuela
0,1977,Toyota COROLLA • 5 Pas.,Gasolina,1200 cc,Manual,Sedán,NARANJA,NEGRO,Termina en 5,San José
0,1993,BMW 318I • 5 Pas.,Gasolina,1800 cc,Manual,Sedán,NEGRO,BEIGE,Termina en 3,Alajuela
0,1992,Toyota TERCEL • 5 Pas.,Gasolina,1500 cc,Manual,Sedán,CELESTE,NEGRO Y CELESTE,Termina en 9,Heredia
0,2011,Hyundai ELANTRA • 5 Pas.,Gasolina,1800 cc,Manual,Sedán,GRIS,BEIS,ND,Alajuela
0,2008,Jeep CHEROKEE • 5 Pas.,Diesel,2800 cc,Automática,Pickup 4x4,PLATEADO,NEGRO,Termina en 1,San José
0,1994,Toyota COROLLA • 5 Pas.,Gasolina,1600 cc,Manual,Sedán,CHANPAGNE,GRIS,Termina en 9,San José
0,1999,Hyundai ACCENT • 5 Pas.,Gasolina,1500 cc,Manual,Sedán,CAFE,CAFE,Termina en 4,San José
0,2007,Chevrolet SPARK • 5 Pas.,Gasolina,800 cc,Manual,Hatchback,NEGRO MATE,GRIS-NEGRO,Termina en 0,San José
0,2004,Peugeot 206 BERLINA • 5 Pas.,Gasolina,1600 cc,Manual,Hatchback,GRIS,NEGRO,Termina en 6,San José
0,1991,Buick ROADSTER • 5 Pas.,Gasolina,5000 cc,Automática,Station Wagon,ROJO VINO,Gris oscuro,Termina en 2,San José
0,1996,Toyota 4RUNNER • 5 Pas.,Gasolina,3400 cc,Automática,Todo Terreno 4x4,BLANCO,BEIGE,Termina en 0,Alajuela
0,2008,Hyundai ELANTRA • 5 Pas.,Gasolina,1600 cc,Manual,Sedán,GRIS OSCURO,GRIS OSCURO,Termina en 3,San José
0,1987,Mazda B2000 • 2 Pas.,Diesel,2000 cc,Manual,Pickup 4x2,AZUL,BEIGE,Termina en 2,Heredia
0,1987,Mercedes Benz 200E • 5 Pas.,Gasolina,2000 cc,Automática,Sedán,CELESTE,GRIS,Termina en 2,San José
0,1994,Suzuki SIDEKICK • 5 Pas.,Gasolina,1600 cc,Manual,Todo Terreno 4x4,BLANCO,GRIS,Termina en 4,Heredia
0,1993,Hyundai GALLOPER • 7 Pas.,Diesel,2500 cc,Manual,Todo Terreno 4x4,GRIS,GRIS,Termina en 7,Puntarenas
0,1997,Mitsubishi LANCER GL • 5 Pas.,Gasolina,1298 cc,Manual,Sedán,PLATEADO,GRIS,Termina en 2,Guanacaste
0,1995,BMW 318I • 4 Pas.,Gasolina,1800 cc,Manual,Sedán,VINO,BEIGE,Termina en 8,San José
0,2000,Chevrolet BLAZER • 5 Pas.,Gasolina,2400 cc,Automática,Todo Terreno 4x2,VERDE,CAFE,Termina en 4,San José
0,2004,Suzuki FORENZA • 5 Pas.,Gasolina,2000 cc,Automática,Sedán,GRIS,NEGRO/GRIS,Termina en 8,Limón
0,1990,Subaru E12 • 8 Pas.,Gasolina,1189 cc,Manual,Microbús/Minivan,BLANCO,NEGRO,Termina en 0,San José
0,2000,Mazda 323 • 5 Pas.,Gasolina,1600 cc,Manual,Sedán,VERDE,GRIS,Termina en 9,San José
0,1991,Toyota COROLLA LE • 5 Pas.,Gasolina,1800 cc,Manual,Sedán,GRIS,GRIS,Termina en 7,San José
0,1991,Mazda B2200 • 3 Pas.,Gasolina,2200 cc,Manual,Pickup 4x2,GRIS,GRIS,Termina en 3,Limón
0,2002,Renault CLIO • 5 Pas.,Gasolina,1400 cc,Manual,Sedán,AZUL,NEGRO,Termina en 4,Heredia
0,1981,Volkswagen VANAGON GL • 7 Pas.,Gasolina,2000 cc,Manual,Station Wagon,VERDE,CAFÉ Y ROJO,Termina en 8,Heredia
0,2005,Nissan SENTRA • 5 Pas.,Gasolina,1800 cc,Manual,Sedán,NEGRO,BEIGE,Termina en 2,San José
0,1997,Ssang Yong MUSSO • 5 Pas.,Diesel,2900 cc,Manual,Todo Terreno 4x4,NEGRO,NEGRO,Termina en 5,San José
0,1998,Nissan 200SX • 5 Pas.,Gasolina,1600 cc,Manual,Sedán,VERDE,GRIS OSCURO,Termina en 2,San José
0,2001,Nissan ALMERA • 5 Pas.,Gasolina,1600 cc,Manual,Sedán,GRIS,GRIS,Termina en 0,Heredia
0,1996,Geo TRACKER • 4 Pas.,Gasolina,1600 cc,Manual,Todo Terreno 4x4,CELESTE,NEGRO,Termina en 8,San José
0,2000,Nissan SENTRA • 5 Pas.,Gasolina,1800 cc,Manual,Sedán,VERDE OSCURO,BEIGE CLARO,Termina en 8,Cartago
0,1991,Nissan D21 • 2 Pas.,Gasolina,2400 cc,Manual,Pickup 4x2,CELESTE,GRIS,Termina en 9,Alajuela
0,1998,Honda CIVIC • 5 Pas.,Gasolina,1600 cc,Manual,Sedán,NEGRO,GRIS,Termina en 5,Cartago
0,2007,Geely CK • 5 Pas.,Gasolina,1300 cc,Manual,Sedán,PLATEADO,GRIS,Termina en 3,San José
0,2008,Peugeot 206 BERLINA • 5 Pas.,Gasolina,1400 cc,Manual,Hatchback,GRIS,NEGRO,Termina en 2,Cartago
0,2003,Hyundai ELANTRA • 5 Pas.,Gasolina,2000 cc,Manual,Sedán,GRIS,GRIS,Termina en 5,Alajuela
0,2006,Ford FIESTA • 5 Pas.,Gasolina,1600 cc,Manual,Hatchback,GRIS PLATA,NEGRO,Termina en 3,San José
0,1993,Toyota COROLLA • 5 Pas.,Gasolina,1800 cc,Automática,Sedán,PALO ROSA,CAFE,Termina en 4,Heredia
0,1994,Suzuki SIDEKICK • 5 Pas.,Gasolina,1600 cc,Automática,Todo Terreno 4x4,AZUL,GRIS,Termina en 2,Cartago
0,2008,Nissan PLATINA • 5 Pas.,Gasolina,1600 cc,Manual,Sedán,NEGRO,GRIS,Termina en 2,Alajuela
0,1989,Jeep CHEROKEE • 5 Pas.,Gasolina,4000 cc,Manual,Todo Terreno 4x4,NEGRO,GRIS,Termina en 3,Cartago
0,2000,Chevrolet SPARK • 5 Pas.,Gasolina,800 cc,Manual,Hatchback,CREMA,GRIS,Termina en 5,Cartago
0,2005,Volkswagen POLO • 5 Pas.,Gasolina,1600 cc,Manual,Hatchback,PLATA,GRIS,Termina en 2,Heredia
0,2000,Mazda 323 GLX • 5 Pas.,Gasolina,1600 cc,Manual,Sedán,AZUL,GRIS,Termina en 5,San José
0,2002,Hyundai ACCENT • 5 Pas.,Gasolina,1500 cc,Manual,Sedán,AZUL,NEGRO,Termina en 9,Alajuela
0,2001,Hyundai TIBURON • 5 Pas.,Gasolina,2000 cc,Manual,Hatchback,AMARILLO,NEGRO,Termina en 7,San José
0,1995,Nissan 200SX • 5 Pas.,Gasolina,1600 cc,Manual,Sedán,ROJO,NEGRO/GRIS,Termina en 1,Alajuela
0,1998,Honda CIVIC • 5 Pas.,Gasolina,1600 cc,Manual,Hatchback,NEGRO,NEGRO,Termina en 7,Alajuela
0,1995,Nissan SENTRA B14 • 5 Pas.,Gasolina,1600 cc,Manual,Sedán,AZUL,GRIS,Termina en 1,Limón
0,1993,Toyota CORONA • 5 Pas.,Gasolina,1600 cc,Manual,Sedán,DORADO,Negro con gris,Termina en 2,San José
0,2000,Hyundai ACCENT VERNA • 5 Pas.,Gasolina,1600 cc,Manual,Sedán,GRIS,GRIS,Termina en 3,Puntarenas
0,2008,Kia PICANTO EX • 4 Pas.,Gasolina,1000 cc,Manual,Hatchback,NARANJA,NARANJA Y NEGRO,Termina en 2,San José
0,1998,Honda CIVIC • 5 Pas.,Gasolina,1600 cc,Manual,Sedán,VERDE PERLADO,CAFÉ,Termina en 6,Cartago
0,1999,Hyundai ELANTRA • 5 Pas.,Gasolina,1800 cc,Automática,Sedán,NEGRO,GRIS,Termina en 2,Alajuela
0,1994,Geo TRACKER • 5 Pas.,Gasolina,1600 cc,Manual,Todo Terreno 4x4,BLANCO,GRIS,Termina en 5,Heredia
0,2002,Hyundai ELANTRA • 5 Pas.,Gasolina,2000 cc,Automática,Sedán,BLANCO,BEIGE,Termina en 3,Cartago
0,2008,Fiat PALIO WEEKEND • 5 Pas.,Diesel,1700 cc,Manual,Station Wagon,BLANCO,GRIS,Termina en 8,Alajuela
0,2004,Chevrolet AVEO • 5 Pas.,Gasolina,1600 cc,Automática,Hatchback,ROJO,GRIS,Termina en 1,San José
0,1993,Toyota COROLLA • 5 Pas.,Gasolina,1600 cc,Manual,Sedán,BLANCO,NEGRO,Termina en 0,Cartago
0,2000,Suzuki VITARA • 5 Pas.,Gasolina,2000 cc,Automática,Todo Terreno 4x2,ROJO,GRIS,Termina en 2,Alajuela
0,2005,Chevrolet AVEO • 5 Pas.,Gasolina,1600 cc,Manual,Hatchback,AZUL,GRIS,Termina en 1,San José
0,1997,Honda CIVIC EX • 5 Pas.,Gasolina,1600 cc,Manual,Sedán,VERDE,GRIS,Termina en 3,Alajuela
0,1994,Land Rover DISCOVERY I • 5 Pas.,Gasolina,3900 cc,Automática,Todo Terreno 4x4,BEIGE,NEGRO,Termina en 7,Alajuela
0,1994,Land Rover DISCOVERY I • 5 Pas.,Gasolina,3900 cc,Automática,Todo Terreno 4x4,BEIGE,NEGRO,Termina en 7,Alajuela
0,2000,Mazda PROTEGE • 5 Pas.,Gasolina,1500 cc,Manual,Sedán,BLANCO,CAFE,Termina en 1,San José
0,2007,Peugeot 407 BERLINA • 5 Pas.,Gasolina,2200 cc,Automática,Sedán,GRIS,NEGRO,Termina en 2,Cartago
0,1994,BMW 318I E36 • 5 Pas.,Gasolina,2000 cc,Manual,Sedán,ROJO,BEIGE,Termina en 2,San José
0,1997,Suzuki SIDEKICK • 5 Pas.,Gasolina,1800 cc,Automática,Todo Terreno 4x4,AZUL,NEGRO,Termina en 8,San José
0,1999,Nissan SENTRA • 5 Pas.,Gasolina,1600 cc,Manual,Sedán,CELESTE,NEGRO,Termina en 1,Heredia
0,2007,Peugeot 206 BERLINA • 5 Pas.,Gasolina,1300 cc,Manual,Sedán,NEGRO,NEGRO,Termina en 0,San José
0,1986,Toyota HILUX • 3 Pas.,Gasolina,2400 cc,Manual,Pickup 4x2,AZUL,AZUL,Termina en 0,Puntarenas
0,2002,Hyundai ACCENT • 5 Pas.,Gasolina,1600 cc,Automática,Sedán,NEGRO,GRIS,Termina en 4,San José
0,1995,Geo TRACKER • 5 Pas.,Gasolina,1600 cc,Manual,Todo Terreno 4x4,CELESTE,GRIS,Termina en 4,Alajuela
0,1999,Saturn SL • 5 Pas.,Gasolina,1900 cc,Manual,Sedán,AZUL PERLADO,GRIS,Termina en 5,Cartago
0,1997,Nissan SENTRA B14 • 5 Pas.,Gasolina,1600 cc,Automática,Sedán,VERDE,GRIS,Termina en 7,Alajuela
0,1995,Toyota COROLLA • 5 Pas.,Gasolina,1600 cc,Manual,Sedán,VERDE,GRIS,Termina en 8,San José
0,1993,Honda CIVIC EX • 4 Pas.,Gasolina,1600 cc,Manual,Sedán,BLANCO,BEIGE,Termina en 9,Heredia
0,1998,Honda CIVIC • 5 Pas.,Gasolina,1500 cc,Automática,Sedán,VERDE OSCURO,BEIGE,Termina en 7,Alajuela
0,1994,Toyota COROLLA • 5 Pas.,Gasolina,1800 cc,Manual,Sedán,PLATEADO,GRIS,Termina en 4,San José
0,1997,Nissan SENTRA B14 • 5 Pas.,Gasolina,1600 cc,Manual,Sedán,VINO ROJO,BEIGUE,Termina en 2,San José
0,1998,Nissan SENTRA B14 • 5 Pas.,Gasolina,1600 cc,Manual,Sedán,VINO,CAFÉ,Termina en 5,Heredia
0,2003,Hyundai ACCENT • 5 Pas.,Gasolina,1600 cc,Automática,Sedán,PLATEADO,GFIS,Termina en 5,Cartago
0,2002,Hyundai ACCENT • 5 Pas.,Gasolina,1600 cc,Automática,Sedán,NEGRO,GRIS,Termina en 3,Heredia
0,1989,Toyota HILUX • 5 Pas.,Gasolina,1600 cc,Manual,Pickup 4x2,AZUL,BEIGE,Termina en 3,San José
0,1997,Toyota STARLET • 5 Pas.,Gasolina,1400 cc,Manual,Sedán,BLANCO,GRIS,Termina en 0,San José
0,1995,Suzuki SIDEKICK • 5 Pas.,Gasolina,1600 cc,Manual,Todo Terreno 4x2,NEGRO,GRIS,Termina en 1,San José
0,2002,Suzuki BALENO • 5 Pas.,Gasolina,1600 cc,Manual,Sedán,AZUL PERLADO,GRIS,Termina en 4,Alajuela
0,1991,Nissan PATHFINDER • 5 Pas.,Gasolina,3000 cc,Manual,Todo Terreno 4x4,NEGRO,GRIS,Termina en 7,Cartago
0,1992,Nissan SENTRA SR • 5 Pas.,Gasolina,2000 cc,Manual,Sedán,GRIS OSCURO,NEGRO,Termina en 1,San José
0,2007,Chevrolet OPTRA • 5 Pas.,Gasolina,1600 cc,Manual,Sedán,GRIS,GRIS,Termina en 4,Limón
0,1994,Hyundai GALLOPER • 7 Pas.,Diesel,2500 cc,Manual,Todo Terreno 4x4,PLATEADO,GRIS,Termina en 1,Alajuela
0,1996,Toyota RAV4 • 5 Pas.,Gasolina,2000 cc,Manual,Todo Terreno 4x4,AZUL,GRIS,Termina en 2,Limón
0,2003,Nissan ALMERA • 5 Pas.,Gasolina,1600 cc,Manual,Sedán,DORADO,GRIS,Termina en 2,Cartago
0,1991,Geo TRACKER • 4 Pas.,Gasolina,1600 cc,Manual,Todo Terreno 4x4,AMARILLO,GRIS/AZUL,Termina en 6,San José
0,2003,Fiat STRADA • 2 Pas.,Gasolina,1300 cc,Manual,Pickup 4x2,VERDE,GRIS,Termina en 5,Heredia
0,2000,Hyundai ACCENT • 5 Pas.,Gasolina,1500 cc,Manual,Sedán,NEGRO,GRIS,Termina en 8,Alajuela
0,2006,Chevrolet SPARK • 5 Pas.,Gasolina,800 cc,Manual,Hatchback,CELESTE,NEGRO,Termina en 6,Heredia
0,1988,Toyota HILUX • 2 Pas.,Diesel,2500 cc,Manual,Pickup 4x2,BLANCO,BLANCO,Termina en 3,Heredia
0,2000,Honda CIVIC EX • 5 Pas.,Gasolina,1600 cc,Manual,Sedán,VERDE,VERDE,Termina en 3,Cartago
0,1989,Suzuki SIDEKICK • 5 Pas.,Gasolina,1600 cc,Manual,Todo Terreno 4x4,AZUL,AZUL Y NEGRO,Termina en 9,Guanacaste
0,1987,Suzuki SAMURAI • 5 Pas.,Gasolina,1600 cc,Manual,Todo Terreno 4x4,NEGRO,NEGRO,Termina en 3,San José
0,2001,Kia JOICE • 7 Pas.,Gasolina,2000 cc,Automática,Sedán,BEIGE,GRIS,Termina en 1,Alajuela
0,1996,Toyota TERCEL • 5 Pas.,Gasolina,1500 cc,Manual,Sedán,GRIS,GRIS OSCURO,Termina en 4,San José
0,2000,Mitsubishi MONTERO SPORT • 5 Pas.,Gasolina,3000 cc,Automática,Todo Terreno 4x2,GRIS,GRIS,Termina en 2,San José
0,1994,Toyota COROLLA DX • 5 Pas.,Gasolina,1600 cc,Manual,Sedán,BLANCO,GRIS,Termina en 7,San José
0,2006,Fiat SIENA • 5 Pas.,Híbrido,1242 cc,Manual,Sedán,GRIS OSCURO,GRIS CLARO,Termina en 7,Alajuela
0,1999,Honda ACCORD • 5 Pas.,Gasolina,2300 cc,Automática,Sedán,AZUL,CAFE,Termina en 3,Alajuela
0,1996,Toyota COROLLA • 5 Pas.,Gasolina,1600 cc,Manual,Sedán,BLANCO,GRIS,Termina en 6,San José
0,2001,Kia RIO • 5 Pas.,Gasolina,1500 cc,Automática,Sedán,BLANCO,NEGRO,Termina en 8,San José
0,2006,Chevrolet AVEO • 5 Pas.,Gasolina,1500 cc,Manual,Sedán,GRIS,NEGRO,Termina en 5,San José
