year,marca,modelo,pasajeros,descripcion,precio,preciodolar,Combustible:,Cilindrada:,Transmisión:,Estilo:,Color Exterior:,Color Interior:,Placa:,Provincia:
2016,Daihatsu,TERIOS BEGO,5,"['Daihatsu', 'TERIOS', 'BEGO']", 8950000, 16823,Gasolina,1500 cc,Automática,Todo Terreno 4x4,PLATA,GRIS,Termina en 6,Alajuela
2010,BMW,320I,5,"['BMW', '320I']", 8950000, 16823,Gasolina,2000 cc,Automática,Sedán,PLATEADO,NEGRO,Termina en 1,Cartago
2015,Toyota,COROLLA,5,"['Toyota', 'COROLLA']", 8950000, 16823,Gasolina,1800 cc,Automática,Sedán,NEGRO,GRIS,Termina en 8,Alajuela
2012,Suzuki,VITARA,5,"['Suzuki', 'VITARA']", 8950000, 16823,Gasolina,2400 cc,Manual,Todo Terreno 4x4,AZUL OSCURO,CHAMPAGNE,Termina en 3,Cartago
2011,Toyota,RAV4,5,"['Toyota', 'RAV4']", 8950000, 16823,Gasolina,2500 cc,Automática,Todo Terreno 4x4,CAFÉ,CREMA,Termina en 7,Alajuela
2015,Toyota,COROLLA S,5,"['Toyota', 'COROLLA', 'S']", 8950000, 16823,Gasolina,1800 cc,Automática,Sedán,BLANCO,NEGRO,Termina en 3,Heredia
2012,BMW,325I,5,"['BMW', '325I']", 8950000, 16823,Gasolina,2500 cc,Automática,Sedán,NEGRO PERLADO,CUERO BEIGE,Termina en 5,San José
2018,Hyundai,CRETA,5,"['Hyundai', 'CRETA']", 8950000, 16823,Gasolina,1600 cc,Manual,Todo Terreno 4x4,GRIS,NEGRO,Termina en 8,San José
2011,Honda,CRV SE,5,"['Honda', 'CRV', 'SE']", 8975000, 16870,Gasolina,2400 cc,Automática,Todo Terreno 4x4,GRIS,BEIGE,ND,San José
2011,Hyundai,TUCSON,5,"['Hyundai', 'TUCSON']", 8975000, 16870,Diesel,2000 cc,Automática,Todo Terreno 4x4,BLANCO,NEGRO,Termina en 8,Alajuela
2016,Hyundai,CRETA GLS,5,"['Hyundai', 'CRETA', 'GLS']", 8950000, 16823,Gasolina,1600 cc,Automática,Todo Terreno 4x2,CAFE METALICO,NEGRO,Termina en 1,San José
2019,Suzuki,ERTIGA,7,"['Suzuki', 'ERTIGA']", 8950000, 16823,Gasolina,1400 cc,Automática,Station Wagon,GRIS,BEIGE,Termina en 5,San José
2012,BMW,X1 M S,5,"['BMW', 'X1', 'M', 'S']", 8950000, 16823,Gasolina,2000 cc,Automática,Todo Terreno 4x4,GRIS,NEGRO,Termina en 8,Puntarenas
2017,Fiat,500X,5,"['Fiat', '500X']", 8950000, 16823,Gasolina,1400 cc,Automática,Hatchback,ROJO,NEGRO,Termina en,San José
2020,Suzuki,BALENO GLX,5,"['Suzuki', 'BALENO', 'GLX']", 8950000, 16823,Gasolina,1400 cc,Automática,Hatchback,GRIS,NEGRO,Termina en 1,Heredia
2017,Toyota,YARIS,5,"['Toyota', 'YARIS']", 8960000, 16842,Gasolina,1500 cc,Automática,Hatchback,AZUL,NEGRO,Termina en 0,San José
2015,Jeep,COMPASS,5,"['Jeep', 'COMPASS']", 8960000, 16842,Gasolina,2400 cc,Automática,Todo Terreno 4x2,PLATEADO,GRIS,Termina en 1,San José
2014,Toyota,HILUX,3,"['Toyota', 'HILUX']", 8964200, 16850,Diesel,2500 cc,Manual,Pickup 4x2,BLANCO,GRIS,Termina en 0,Heredia
2013,Kia,SORENTO,7,"['Kia', 'SORENTO']", 8975000, 16870,Gasolina,2400 cc,Automática,Todo Terreno 4x2,AZUL,NEGRO,Termina en 1,San José
2018,Suzuki,SCROSS,4,"['Suzuki', 'SCROSS']", 8975000, 16870,Gasolina,1600 cc,Manual,Hatchback,AZUL,NEGRO,Termina en 0,San José
2006,Nissan,PATHFINDER SE,7,"['Nissan', 'PATHFINDER', 'SE']", 8975000, 16870,Gasolina,4000 cc,Automática,Todo Terreno 4x4,BLANCO,GRIS,Termina en 0,Alajuela
2013,Hyundai,TUCSON,5,"['Hyundai', 'TUCSON']", 8990000, 16898,Diesel,2000 cc,Automática,Todo Terreno 4x2,BLACK,BLACK,Termina en 6,San José
2015,Nissan,QASHQAI,5,"['Nissan', 'QASHQAI']", 8990000, 16898,Gasolina,2000 cc,Automática,Todo Terreno 4x2,NEGRO,NEGRO,Termina en 8,Cartago
2016,Hyundai,CRETA GL,5,"['Hyundai', 'CRETA', 'GL']", 8990800, 16900,Gasolina,1600 cc,Manual,Todo Terreno 4x2,NEGRO,NEGRO,ND,Heredia
1975,Toyota,LAND CRUISER BJ40,7,"['Toyota', 'LAND', 'CRUISER', 'BJ40']", 8995000, 16908,Diesel,3000 cc,Manual,Todo Terreno 4x4,ROJO,NEGRO,Termina en 9,Heredia
2010,Toyota,RAV4 SPORT,5,"['Toyota', 'RAV4', 'SPORT']", 8975000, 16870,Gasolina,2500 cc,Automática,Todo Terreno 4x2,AZUL,BEIGE,Termina en 0,Alajuela
2010,Hyundai,TUCSON LIMITED,5,"['Hyundai', 'TUCSON', 'LIMITED']", 8975000, 16870,Gasolina,2400 cc,Manual,Todo Terreno 4x2,GRIS PLATA,NEGRO,Termina en 0,Alajuela
2020,Donfeng,(ZNA) GLORY 580,7,"['Donfeng', '(ZNA)', 'GLORY', '580']", 8990800, 16900,Gasolina,1800 cc,Manual,Todo Terreno 4x2,AZUL,NEGRO,Termina en 1,San José
2018,Toyota,YARIS,4,"['Toyota', 'YARIS']", 8990800, 16900,Gasolina,1500 cc,Automática,Sedán,GRIS,No indica,Termina en 3,San José
2013,Daihatsu,TERIOS,5,"['Daihatsu', 'TERIOS']", 8990800, 16900,Gasolina,1500 cc,Automática,Todo Terreno 4x4,BLANCO,BEIGE,Termina en 4,Puntarenas
2013,Honda,CRV,4,"['Honda', 'CRV']", 8990800, 16900,Gasolina,2354 cc,Automática,Todo Terreno 4x2,GRIS,No indica,Termina en 9,San José
2018,Renault,CAPTUR,5,"['Renault', 'CAPTUR']", 8990800, 16900,Gasolina,2000 cc,Automática,Todo Terreno 4x2,GRIS,GRIS CON BEIGE,Termina en 4,Heredia
2011,Chevrolet,CAPTIVA LTZ,7,"['Chevrolet', 'CAPTIVA', 'LTZ']", 8995000, 16908,Diesel,2000 cc,Automática,Todo Terreno 4x2,GRIS FLAT,NEGRO,Termina en 0,Alajuela
2012,Hyundai,TUCSON,5,"['Hyundai', 'TUCSON']", 8995000, 16908,Gasolina,2000 cc,Manual,Todo Terreno 4x2,ROJO,NEGRO,Termina en 3,San José
2016,Kia,SPORTAGE,5,"['Kia', 'SPORTAGE']", 8999000, 16915,Diesel,1700 cc,Automática,Todo Terreno 4x2,BLANCO,NEGRO,ND,San José
2003,Hyundai,COUNTY,0,"['Hyundai', 'COUNTY']", 9000000, 16917,Diesel,3900 cc,Manual,Microbús/Minivan,BEIGE,NEGRO,Termina en 4,San José
2012,Kia,SPORTAGE,5,"['Kia', 'SPORTAGE']", 9000000, 16917,Diesel,2000 cc,Automática,Todo Terreno 4x2,BLANCO,NEGRO,ND,San José
2017,Hyundai,AVANTE,5,"['Hyundai', 'AVANTE']", 9000000, 16917,Diesel,1600 cc,Automática,Sedán,AZUL,NEGRO,ND,Heredia
2016,Toyota,COROLLA SPORT,5,"['Toyota', 'COROLLA', 'SPORT']", 9000000, 16917,Gasolina,1800 cc,Manual,Sedán,GRIS,NEGRO,Termina en 4,San José
2011,Hyundai,H1 GRAND STAREX,10,"['Hyundai', 'H1', 'GRAND', 'STAREX']", 9000000, 16917,Diesel,2500 cc,Automática,Microbús/Minivan,NEGRO,GRIS,ND,Alajuela
2017,Fiat,500 X,5,"['Fiat', '500', 'X']", 9000000, 16917,Gasolina,1400 cc,Automática,Todo Terreno 4x2,GRIS PLATA,GRIS,Termina en 1,San José
2013,Hyundai,GRAND STAREX H1,10,"['Hyundai', 'GRAND', 'STAREX', 'H1']", 9000000, 16917,Diesel,2500 cc,Automática,Microbús/Minivan,PLATEADO,GRIS,Termina en 3,San José
2013,Hyundai,TUCSON,5,"['Hyundai', 'TUCSON']", 9000000, 16917,Gasolina,2400 cc,Automática,Todo Terreno 4x2,GRIS,GRIS,Termina en,Alajuela
2022,Geely,GX3,5,"['Geely', 'GX3']", 9000000, 16917,Gasolina,1500 cc,Automática,Todo Terreno 4x2,GRIS OSCURO,NEGRO,Termina en 0,Heredia
2016,Toyota,PRIUS C,5,"['Toyota', 'PRIUS', 'C']", 9000000, 16917,Híbrido,1500 cc,Automática,Hatchback,AZUL,NEGRO,Termina en 7,Cartago
2008,Kia,BONGO III DC,6,"['Kia', 'BONGO', 'III', 'DC']", 9000000, 16917,Diesel,3000 cc,Manual,Pickup 4x4,AZUL,GRIS,ND,Alajuela
2012,Kia,SORENTO,7,"['Kia', 'SORENTO']", 9000000, 16917,Diesel,2200 cc,Automática,Todo Terreno 4x4,GRIS,NEGRO,Termina en 8,Alajuela
2015,Mitsubishi,OUTLANDER,5,"['Mitsubishi', 'OUTLANDER']", 9000000, 16917,Gasolina,2000 cc,Automática,Todo Terreno 4x2,BLANCO,GRIS - NEGRO,ND,Alajuela
2012,Kia,SPORTAGE R,5,"['Kia', 'SPORTAGE', 'R']", 9000000, 16917,Diesel,2000 cc,Automática,Todo Terreno 4x2,CAFE,GRIS,ND,Alajuela
2017,Toyota,COROLLA LE,5,"['Toyota', 'COROLLA', 'LE']", 9000000, 16917,Gasolina,1800 cc,Automática,Sedán,BLANCO,NEGRO,Termina en 4,Guanacaste
2007,Mitsubishi,L200,5,"['Mitsubishi', 'L200']", 9000000, 16917,Diesel,2500 cc,Manual,Pickup 4x4,VERDE,GRIS,Termina en 7,San José
2015,Alfa Romeo,MITO QUADRIFOGLIO,5,"['Alfa', 'Romeo', 'MITO', 'QUADRIFOGLIO']", 9000000, 16917,Gasolina,1400 cc,Manual,Hatchback,ROJO ALFA,NEGRO,Termina en 0,San José
2016,Mini,COOPER,4,"['Mini', 'COOPER']", 9000000, 16917,Gasolina,1550 cc,Automática,Hatchback,AMARILLO,NEGRO,Termina en 4,Heredia
2007,Mercedes Benz,ML320 CDI,5,"['Mercedes', 'Benz', 'ML320', 'CDI']", 9000000, 16917,Diesel,3000 cc,Automática,Todo Terreno 4x4,GRIS,NEGRO,Termina en 4,Cartago
2013,Kia,BONGO III LIFT,3,"['Kia', 'BONGO', 'III', 'LIFT']", 9000000, 16917,Diesel,2500 cc,Manual,Pickup 4x2,AZUL,GRIS,ND,Alajuela
2011,Toyota,RAV4,5,"['Toyota', 'RAV4']", 9000000, 16917,Gasolina,2400 cc,Manual,Todo Terreno 4x4,AZUL,BEIGE,Termina en 5,San José
2000,GMC,SIERRA,5,"['GMC', 'SIERRA']", 9000000, 16917,Híbrido,5300 cc,Automática,Pickup 4x4,AZUL,GRIS,Termina en 4,Alajuela
2001,Isuzu,NPR,3,"['Isuzu', 'NPR']", 9000000, 16917,Diesel,4800 cc,Automática,Camión 5.0-7.5 ton.,BLANCO,BEIGE,Termina en 7,Alajuela
1998,Toyota,HILUX,3,"['Toyota', 'HILUX']", 9000000, 16917,Diesel,2800 cc,Manual,Pickup 4x4,VINO,GRIS,Termina en 3,San José
2011,Mazda,BT50,5,"['Mazda', 'BT50']", 9000000, 16917,Diesel,2500 cc,Manual,Pickup 4x4,GRIS,GRIS-NEGRO,Termina en 1,San José
2011,Audi,Q7,7,"['Audi', 'Q7']", 9000000, 16917,Gasolina,3000 cc,Automática,Todo Terreno 4x4,DORADO,BEIGE,Termina en 9,Heredia
2017,Toyota,YARIS G,5,"['Toyota', 'YARIS', 'G']", 9000000, 16917,Gasolina,1500 cc,Automática,Sedán,BLANCO,NEGRO,Termina en 5,San José
2004,Jeep,WRANGLER,5,"['Jeep', 'WRANGLER']", 9000000, 16917,Gasolina,2400 cc,Manual,Todo Terreno 4x4,VERDE MILITAR,NEGRO,Termina en 0,San José
2014,BMW,I3,5,"['BMW', 'I3']", 9000000, 16917,Eléctrico,0 cc,Automática,Sedán,CAFE,BEIGE,ND,San José
2018,Toyota,YARIS S,5,"['Toyota', 'YARIS', 'S']", 9000000, 16917,Gasolina,1500 cc,Automática,Hatchback,BLANCO,NEGRO,Termina en 6,Alajuela
2007,BMW,X5 XDRIVE,5,"['BMW', 'X5', 'XDRIVE']", 9000000, 16917,Diesel,3000 cc,Automática,Todo Terreno 4x4,GRIS VERDUZCO,CUERO NEGRO,Termina en 9,San José
2010,Toyota,RAV4,7,"['Toyota', 'RAV4']", 9000000, 16917,Gasolina,2500 cc,Automática,Todo Terreno 4x2,SILVER,GRIS,Termina en 4,San José
2018,Chevrolet,TRAX PREMIER,5,"['Chevrolet', 'TRAX', 'PREMIER']", 9000000, 16917,Gasolina,1400 cc,Automática,Todo Terreno 4x2,ROJO OSCURO,NEGRO,Termina en 8,San José
2013,Hyundai,TUCSON,5,"['Hyundai', 'TUCSON']", 9000000, 16917,Diesel,2000 cc,Automática,Todo Terreno 4x2,BLANCO,NEGRO,Termina en 2,Alajuela
2012,Mercedes Benz,C180 CGI,5,"['Mercedes', 'Benz', 'C180', 'CGI']", 9000000, 16917,Gasolina,1500 cc,Automática,Sedán,NEGRO,NEGRO,ND,San José
2015,Hyundai,TUCSON GLS,5,"['Hyundai', 'TUCSON', 'GLS']", 9000000, 16917,Gasolina,2000 cc,Automática,Todo Terreno 4x2,NEGRO,NEGRO,Termina en 5,San José
2013,Mini,COOPER,4,"['Mini', 'COOPER']", 9000000, 16917,Gasolina,1600 cc,Automática,Hatchback,BLANCO,NEGRO,Termina en 4,Alajuela
2014,Suzuki,GRAND VITARA,5,"['Suzuki', 'GRAND', 'VITARA']", 9000000, 16917,Gasolina,2400 cc,Automática,Todo Terreno 4x4,GRIS GRAFITO,NEGRO,Termina en 6,Heredia
2019,Toyota,YARIS E,5,"['Toyota', 'YARIS', 'E']", 9000000, 16917,Gasolina,1500 cc,Manual,Sedán,GRIS,NEGRO,Termina en 5,Alajuela
2020,Chery,TIGGO 2,5,"['Chery', 'TIGGO', '2']", 9000000, 16917,Gasolina,1500 cc,Manual,Todo Terreno 4x2,BLANCO,NEGRO,Termina en 3,Guanacaste
2012,Toyota,HILUX,3,"['Toyota', 'HILUX']", 9000000, 16917,Diesel,2500 cc,Manual,Pickup 4x2,BLANCO,GRIS,Termina en 8,San José
2018,Nissan,SENTRA,5,"['Nissan', 'SENTRA']", 9000000, 16917,Gasolina,1800 cc,Automática,Sedán,GRIS,NEGRO,Termina en 3,San José
2013,Hyundai,TUCSON,5,"['Hyundai', 'TUCSON']", 9000000, 16917,Gasolina,2000 cc,Automática,Todo Terreno 4x4,BLANCO,NEGRO,ND,Alajuela
2015,Nissan,XTRAIL,7,"['Nissan', 'XTRAIL']", 9000000, 16917,Gasolina,2500 cc,Automática,Todo Terreno 4x4,AZUL,NEGRO,Termina en 6,San José
2013,Audi,A5,4,"['Audi', 'A5']", 9000000, 16917,Gasolina,1800 cc,Automática,Sedán,AZUL,BEIGE,Termina en 5,Heredia
2003,Toyota,4RUNNER,5,"['Toyota', '4RUNNER']", 9000000, 16917,Diesel,3000 cc,Automática,Todo Terreno 4x4,GRIS,GRIS,Termina en 3,Alajuela
2014,Nissan,XTRAIL,5,"['Nissan', 'XTRAIL']", 9000000, 16917,Gasolina,2500 cc,Manual,Todo Terreno 4x4,AZUL,NEGRO,Termina en 9,Alajuela
2021,Chery,TIGGO 2,5,"['Chery', 'TIGGO', '2']", 9000000, 16917,Gasolina,1500 cc,Automática,Todo Terreno 4x2,GRIS,NEGRO,Termina en 6,San José
2018,Hyundai,CRETA,5,"['Hyundai', 'CRETA']", 9000000, 16917,Gasolina,1800 cc,Manual,Todo Terreno 4x2,BLANCO,NEGRO,Termina en,Heredia
2021,Hyundai,GRAND I10,5,"['Hyundai', 'GRAND', 'I10']", 9000000, 16917,Gasolina,1200 cc,Automática,Sedán,AZUL,GRIS CON NEGRO,Termina en 9,San José
2007,Isuzu,DMAX,5,"['Isuzu', 'DMAX']", 9000000, 16917,Diesel,2500 cc,Manual,Pickup 4x4,GRIS,NEGRO,Termina en 5,Alajuela
2017,Toyota,AVANZA,7,"['Toyota', 'AVANZA']", 9000000, 16917,Gasolina,1500 cc,Automática,Station Wagon,BLANCO,BEIGE,Termina en 2,San José
2014,Mitsubishi,OUTLANDER SPORT,5,"['Mitsubishi', 'OUTLANDER', 'SPORT']", 9000000, 16917,Gasolina,2000 cc,Automática,Todo Terreno 4x4,GIRS,NEGRO,Termina en I,Cartago
2007,Toyota,HILUX,3,"['Toyota', 'HILUX']", 9000000, 16917,Diesel,2500 cc,Manual,Pickup 4x2,GRIS,BEIGE,Termina en 0,Guanacaste
2017,Hyundai,AVANTE,5,"['Hyundai', 'AVANTE']", 9000000, 16917,Gasolina,1600 cc,Automática,Sedán,GRIS,NEGRO,Termina en 6,San José
2011,Toyota,RAV4 SPORT,5,"['Toyota', 'RAV4', 'SPORT']", 9000000, 16917,Gasolina,2400 cc,Manual,Todo Terreno 4x2,NEGRO,GRIS NEGRO,Termina en 3,Heredia
2013,Ford,EDGE,5,"['Ford', 'EDGE']", 9000000, 16917,Gasolina,3000 cc,Automática,Todo Terreno 4x4,BIGE,NEGRO,Termina en 0,Heredia
2011,Ford,RANGER,5,"['Ford', 'RANGER']", 9000000, 16917,Diesel,3000 cc,Manual,Pickup 4x4,BLANCO,NEGRO,Termina en 0,Alajuela
2005,Hyundai,COUNTY,10,"['Hyundai', 'COUNTY']", 9000000, 16917,Diesel,3900 cc,Manual,Microbús/Minivan,BEIGE,GRIS,Termina en,Heredia
2017,Citroen,DS4,5,"['Citroen', 'DS4']", 9000000, 16917,Gasolina,1600 cc,Automática,Hatchback,BLANCO,NEGRO,Termina en 2,Heredia
2016,Suzuki,GRAND VITARA,5,"['Suzuki', 'GRAND', 'VITARA']", 9000000, 16917,Gasolina,2400 cc,Automática,Todo Terreno 4x2,BLANCO,NEGRO,Termina en 0,Alajuela
2012,BMW,118I SPORT,5,"['BMW', '118I', 'SPORT']", 9000000, 16917,Gasolina,1600 cc,Automática,Hatchback,ROJO,NEGRO,Termina en 2,Cartago
2018,Toyota,YARIS,5,"['Toyota', 'YARIS']", 9000000, 16917,Gasolina,1500 cc,Manual,Sedán,GRIS,GRIS,Termina en 7,Cartago
2012,Hyundai,H1,10,"['Hyundai', 'H1']", 9000000, 16917,Gasolina,2500 cc,Automática,Microbús/Minivan,GRIS,BEIGE,Termina en 9,San José
2004,Toyota,DYNA,3,"['Toyota', 'DYNA']", 9000000, 16917,Diesel,4600 cc,Manual,Camión 1.0-3.5 ton.,BLANCO,GRIS,Termina en 7,San José
2008,Kia,BONGO III,5,"['Kia', 'BONGO', 'III']", 9000000, 16917,Diesel,3000 cc,Manual,Pickup 4x4,BLANCO,GRIS,Termina en 8,Heredia
2017,Hyundai,CRETA GLS,5,"['Hyundai', 'CRETA', 'GLS']", 9000000, 16917,Gasolina,1600 cc,Automática,Todo Terreno 4x2,NEGRO,GRIS,Termina en 2,Guanacaste
2013,Kia,SORENTO,7,"['Kia', 'SORENTO']", 9000000, 16917,Gasolina,2350 cc,Automática,Todo Terreno 4x4,ROJO,NEGRA,Termina en 1,Puntarenas
2018,Chevrolet,TRAX,5,"['Chevrolet', 'TRAX']", 9000000, 16917,Gasolina,1400 cc,Automática,Todo Terreno 4x2,NEGRO,NEGRO,Termina en 5,Heredia
2008,Isuzu,DMAX,5,"['Isuzu', 'DMAX']", 9000000, 16917,Diesel,2500 cc,Manual,Pickup 4x2,BEIGE,GRIS Y NEGRO,Termina en 2,Alajuela
2019,Renault,DUSTER,5,"['Renault', 'DUSTER']", 9000000, 16917,Gasolina,2000 cc,Automática,Todo Terreno 4x2,GRIS OSCURO,NEGRO,Termina en 2,Alajuela
2021,Hyundai,GRAND I10,5,"['Hyundai', 'GRAND', 'I10']", 9000000, 16917,Gasolina,1200 cc,Automática,Sedán,GRIS,GRIS NEGRO,Termina en 8,Alajuela
2011,Mini,JOHN COOPER WORKS,5,"['Mini', 'JOHN', 'COOPER', 'WORKS']", 9000000, 16917,Gasolina,1600 cc,Manual,Hatchback,NEGRO Y ROJO,NEGRO Y ROJO,Termina en 6,Alajuela
2014,Honda,CIVIC EX,5,"['Honda', 'CIVIC', 'EX']", 9000000, 16917,Gasolina,1800 cc,Automática,Sedán,GRIS,GRIS,Termina en 5,Heredia
2008,Honda,RIDGELINE,5,"['Honda', 'RIDGELINE']", 9000000, 16917,Gasolina,3500 cc,Automática,Pickup 4x4,NEGRO,CUERO GRIS,Termina en 0,San José
2012,Honda,PILOT,8,"['Honda', 'PILOT']", 9000000, 16917,Gasolina,3500 cc,Automática,Todo Terreno 4x4,PLATA,NEGRO,Termina en 1,San José
2016,Suzuki,VITARA,5,"['Suzuki', 'VITARA']", 9000000, 16917,Gasolina,1600 cc,Manual,Sedán,NEGRO Y BLANCO,NEGRO,Termina en 0,Alajuela
2019,Toyota,YARIS,5,"['Toyota', 'YARIS']", 9000000, 16917,Gasolina,1500 cc,Automática,Sedán,PLATEADO,NEGRO,ND,Heredia
2019,Toyota,YARIS SPORT,5,"['Toyota', 'YARIS', 'SPORT']", 9000000, 16917,Gasolina,1500 cc,Manual,Hatchback,NEGRO,NEGRO Y ROJO,Termina en 1,Heredia
2017,Hyundai,CRETA GL,5,"['Hyundai', 'CRETA', 'GL']", 9000000, 16917,Gasolina,1500 cc,Manual,Todo Terreno 4x2,PLATEADO,GRIS,Termina en 0,Heredia
2013,Toyota,RAV4,5,"['Toyota', 'RAV4']", 9000000, 16917,Gasolina,2400 cc,Automática,Todo Terreno 4x4,GRIS,GRIS OSCURO,Termina en 5,Alajuela
2005,Subaru,IMPREZA WRX,5,"['Subaru', 'IMPREZA', 'WRX']", 9000000, 16917,Gasolina,2000 cc,Manual,Sedán,GRIS RATÓN OSCU,NEGRO,Termina en 1,Cartago
2017,Suzuki,VITARA GL PLUS Z,5,"['Suzuki', 'VITARA', 'GL', 'PLUS', 'Z']", 9000000, 16917,Gasolina,1600 cc,Manual,Todo Terreno 4x2,NEGRO,NEGRO,Termina en 3,Cartago
2015,Hyundai,TUCSON,5,"['Hyundai', 'TUCSON']", 9000000, 16917,Gasolina,2000 cc,Automática,Todo Terreno 4x2,GRIS,NEGRO,Termina en 3,San José
2017,Chevrolet,TRAX LS,5,"['Chevrolet', 'TRAX', 'LS']", 9000000, 16917,Gasolina,1800 cc,Manual,Todo Terreno 4x2,NEGRO,NEGRO,Termina en 6,Cartago
2016,Daihatsu,TERIOS,5,"['Daihatsu', 'TERIOS']", 9000000, 16917,Gasolina,1500 cc,Automática,Todo Terreno 4x4,GRIS,NEGRO,Termina en 0,San José
2015,Suzuki,GRAND VITARA,5,"['Suzuki', 'GRAND', 'VITARA']", 9000000, 16917,Gasolina,2400 cc,Manual,Todo Terreno 4x4,CAFÉ,NEGRO,Termina en 8,Limón
2017,Hyundai,TUCSON GL,5,"['Hyundai', 'TUCSON', 'GL']", 9000000, 16917,Gasolina,2000 cc,Manual,Todo Terreno 4x2,BLANCO,GRIS,Termina en 7,Cartago
2012,Hyundai,AVANTE,5,"['Hyundai', 'AVANTE']", 9000000, 16917,Gasolina,16000 cc,Manual,Sedán,NEGRO,NEGRO,ND,Alajuela
2014,Hyundai,TUCSON,5,"['Hyundai', 'TUCSON']", 9000000, 16917,Gasolina,2000 cc,Automática,Todo Terreno 4x2,GRIS,NEGRO,Termina en 8,Alajuela
2018,Nissan,SENTRA,5,"['Nissan', 'SENTRA']", 9000000, 16917,Gasolina,1800 cc,Automática,Sedán,BLANCO,NEGRO,Termina en 0,Alajuela
2012,Kia,BONGO III,3,"['Kia', 'BONGO', 'III']", 9000000, 16917,Diesel,2500 cc,Manual,Pickup 4x2,AZUL,Gris,Termina en 9,San José
2018,Toyota,YARIS,5,"['Toyota', 'YARIS']", 9000000, 16917,Gasolina,1500 cc,Automática,Hatchback,GRIS,NEGRO,Termina en 8,San José
2014,BMW,116,5,"['BMW', '116']", 9038680, 16990,Gasolina,1600 cc,Manual,Hatchback,NEGRO,NEGRO,Termina en 0,San José
2012,Kia,SORENTO,7,"['Kia', 'SORENTO']", 9000000, 16917,Diesel,2400 cc,Automática,Todo Terreno 4x4,BLANCO,GRIS,Termina en 4,Alajuela
2014,Hyundai,TUCSON,5,"['Hyundai', 'TUCSON']", 9000000, 16917,Gasolina,2000 cc,Automática,Todo Terreno 4x2,ROJO,CAFE-BEIGE,Termina en 7,San José
2019,Suzuki,ERTIGA,7,"['Suzuki', 'ERTIGA']", 9000000, 16917,Gasolina,1500 cc,Manual,Station Wagon,BLANCO,BEIGE,ND,Alajuela
2017,Fiat,500X,5,"['Fiat', '500X']", 9000000, 16917,Gasolina,1400 cc,Manual,Todo Terreno 4x2,BLANCO,NEGRO,Termina en 3,San José
2020,Suzuki,SWIFT,5,"['Suzuki', 'SWIFT']", 9000000, 16917,Gasolina,1200 cc,Automática,Hatchback,ROJO,NEGRO,Termina en 4,San José
2012,Audi,Q5,5,"['Audi', 'Q5']", 9000000, 16917,Gasolina,2000 cc,Automática,Todo Terreno 4x4,BLANCO,BEIGE,Termina en 5,San José
2017,Toyota,YARIS,5,"['Toyota', 'YARIS']", 9000000, 16917,Gasolina,1500 cc,Automática,Hatchback,GRIS RATÓN,NEGRO,Termina en 9,San José
2008,Mitsubishi,MONTERO,5,"['Mitsubishi', 'MONTERO']", 9000000, 16917,Diesel,2800 cc,Manual,Todo Terreno 4x4,NEGRO,BEIGE,Termina en 3,San José
2009,Audi,A5 QUATTRO,4,"['Audi', 'A5', 'QUATTRO']", 9000000, 16917,Gasolina,3200 cc,Automática,Sedán,BLANCO,CAFE,Termina en 0,Alajuela
2004,BMW,Z4,2,"['BMW', 'Z4']", 9000000, 16917,Gasolina,3000 cc,Automática,Sedán,NEGRO,BEIGE,Termina en 1,San José
2022,Chery,TIGGO 4,5,"['Chery', 'TIGGO', '4']", 9034915, 16983,Gasolina,1500 cc,Automática,Hatchback,AZUL,NEGRO,Termina en 8,San José
2018,Hyundai,ACCENT,5,"['Hyundai', 'ACCENT']", 9044000, 17000,Diesel,1600 cc,Automática,Sedán,BLANCO,NEGRO,ND,Cartago
2017,Changan,CS75,5,"['Changan', 'CS75']", 9044000, 17000,Gasolina,1800 cc,Automática,Todo Terreno 4x2,BEIGE,CUERO,Termina en 6,Heredia
2018,Suzuki,JIMNY JX,4,"['Suzuki', 'JIMNY', 'JX']", 9044000, 17000,Gasolina,1350 cc,Manual,Todo Terreno 4x4,BLANCO,GRIS,Termina en 8,Heredia
2018,Toyota,YARIS SPORT,5,"['Toyota', 'YARIS', 'SPORT']", 9100000, 17105,Gasolina,1500 cc,Automática,Hatchback,BLANCO,NEGRO,Termina en 7,San José
2019,Chevrolet,CAVALIER PREMIER,5,"['Chevrolet', 'CAVALIER', 'PREMIER']", 9100000, 17105,Gasolina,1500 cc,Automática,Sedán,PLATEADO,NEGRO,Termina en 4,Heredia
2008,Toyota,DYNA,3,"['Toyota', 'DYNA']", 9100000, 17105,Diesel,3000 cc,Manual,Camión 1.0-3.5 ton.,BLANCO,GRIS,Termina en 1,San José
2019,Chevrolet,TRAX LS,5,"['Chevrolet', 'TRAX', 'LS']", 9044000, 17000,Gasolina,1800 cc,Manual,Todo Terreno 4x2,PLATEADOS,NEGRO,Termina en 1,San José
2017,Suzuki,VITARA GL PLUS Z,5,"['Suzuki', 'VITARA', 'GL', 'PLUS', 'Z']", 9044000, 17000,Gasolina,1600 cc,Manual,Todo Terreno 4x2,GRIS,NEGRO,Termina en 1,San José
2020,Fiat,500 POP,4,"['Fiat', '500', 'POP']", 9044000, 17000,Gasolina,1200 cc,Automática,Hatchback,NEGRO,NEGRO,Termina en 1,San José
