year,marca,modelo,pasajeros,descripcion,precio,preciodolar,Combustible:,Cilindrada:,Transmisión:,Estilo:,Color Exterior:,Color Interior:,Placa:,Provincia:
2006,Audi,A3 S-LINE,5,"['Audi', 'A3', 'S-LINE']", 6800000, 12782,Gasolina,3200 cc,Automática,Hatchback,ROJO,NEGRO,Termina en 4,San José
2009,Toyota,RAV4,5,"['Toyota', 'RAV4']", 6800000, 12782,Gasolina,2500 cc,Manual,Todo Terreno 4x2,VERDE AZULADO,GRIS CLARO,Termina en 7,San José
2001,Jeep,WRANGLER,5,"['Jeep', 'WRANGLER']", 6800000, 12782,Gasolina,4000 cc,Automática,Todo Terreno 4x4,NEGRO,NEGRO,Termina en 2,San José
2013,Suzuki,GRAND VITARA,5,"['Suzuki', 'GRAND', 'VITARA']", 6800000, 12782,Gasolina,2400 cc,Manual,Todo Terreno 4x2,PLOMO,GRIS,Termina en 1,San José
2019,Hyundai,GRAND I10,5,"['Hyundai', 'GRAND', 'I10']", 6800000, 12782,Gasolina,1200 cc,Manual,Hatchback,BLANCO,NEGRO,Termina en 2,Cartago
2015,Toyota,YARIS,5,"['Toyota', 'YARIS']", 6800000, 12782,Gasolina,1500 cc,Manual,Sedán,ROJO VINO,BEIS,Termina en 6,San José
2016,Hyundai,I20 ACTIVE,5,"['Hyundai', 'I20', 'ACTIVE']", 6800000, 12782,Gasolina,1400 cc,Manual,Hatchback,AZUL,NEGRO Y AZUL,Termina en 7,Heredia
2019,Changan,CS15,5,"['Changan', 'CS15']", 6800000, 12782,Gasolina,1500 cc,Manual,Todo Terreno 4x2,BLANCO,GRIS,Termina en 7,Alajuela
2012,Hyundai,AVANTE,5,"['Hyundai', 'AVANTE']", 6800000, 12782,Gasolina,1600 cc,Automática,Sedán,GRIS,GRIS,ND,San José
2017,Ssang Yong,TIVOLI,5,"['Ssang', 'Yong', 'TIVOLI']", 6800000, 12782,Diesel,1600 cc,Manual,Todo Terreno 4x2,BLANCO,NEGRO,Termina en 5,San José
2017,Kia,RIO,5,"['Kia', 'RIO']", 6800000, 12782,Gasolina,1400 cc,Manual,Sedán,BLANCO,NEGRO,Termina en 2,Heredia
2012,Hyundai,ELANTRA,5,"['Hyundai', 'ELANTRA']", 6800000, 12782,Gasolina,1800 cc,Automática,Sedán,NEGRO,BEIGE,Termina en 9,Alajuela
2013,Hyundai,ELANTRA,5,"['Hyundai', 'ELANTRA']", 6800000, 12782,Gasolina,1800 cc,Automática,Sedán,GRIS,AZUL,Termina en 3,San José
2009,Hyundai,SANTA FE,7,"['Hyundai', 'SANTA', 'FE']", 6800000, 12782,Diesel,2200 cc,Automática,Todo Terreno 4x2,BLANCO,NEGRO,ND,Alajuela
2008,Honda,CRV,5,"['Honda', 'CRV']", 6800000, 12782,Gasolina,2400 cc,Automática,Todo Terreno 4x2,NEGRO,BEIGE,Termina en 5,Heredia
2011,Hyundai,ELANTRA,5,"['Hyundai', 'ELANTRA']", 6800000, 12782,Gasolina,1600 cc,Automática,Sedán,GRIS,GRIS,ND,San José
2015,Hyundai,ACCENT GLS,5,"['Hyundai', 'ACCENT', 'GLS']", 6800000, 12782,Gasolina,1600 cc,Automática,Sedán,GRIS,GRIS,Termina en 1,San José
2009,Hyundai,SANTA FE,7,"['Hyundai', 'SANTA', 'FE']", 6800000, 12782,Diesel,2200 cc,Automática,Todo Terreno 4x2,PLATEADO,NEGRO,Termina en 4,San José
2014,Hyundai,I30,5,"['Hyundai', 'I30']", 6800000, 12782,Gasolina,1800 cc,Manual,Hatchback,BLANCO,NEGRO-BEIGE,Termina en 0,San José
2012,Toyota,COROLLA,5,"['Toyota', 'COROLLA']", 6800000, 12782,Gasolina,1800 cc,Manual,Sedán,GRIS PLOMO,GRIS CLARO,Termina en 2,San José
2003,Mitsubishi,MONTERO SPORT,5,"['Mitsubishi', 'MONTERO', 'SPORT']", 6800000, 12782,Diesel,2800 cc,Automática,Todo Terreno 4x4,GRIS,GRIS,Termina en 8,Cartago
2006,BMW,525IA,5,"['BMW', '525IA']", 6800000, 12782,Híbrido,2500 cc,Automática,Sedán,GRIS,NEGRO,Termina en 1,Alajuela
2009,Hyundai,SANTA FE,7,"['Hyundai', 'SANTA', 'FE']", 6800000, 12782,Diesel,2200 cc,Automática,Todo Terreno 4x4,GRIS,NEGRO,ND,San José
2017,Suzuki,BALENO GL,5,"['Suzuki', 'BALENO', 'GL']", 6800000, 12782,Gasolina,1400 cc,Manual,Hatchback,GRIS,NEGRO,Termina en 3,San José
2010,Toyota,COROLLA SPORT,5,"['Toyota', 'COROLLA', 'SPORT']", 6800000, 12782,Gasolina,1800 cc,Automática,Sedán,NEGRO,GRIS,ND,Alajuela
2005,Nissan,XTERRA,5,"['Nissan', 'XTERRA']", 6800000, 12782,Gasolina,4000 cc,Automática,Todo Terreno 4x2,GRIS,GRIS,Termina en 1,Alajuela
2009,Hyundai,SANTA FE,7,"['Hyundai', 'SANTA', 'FE']", 6800000, 12782,Diesel,2200 cc,Automática,Todo Terreno 4x2,GRIS,GRIS,Termina en 6,Heredia
2014,Nissan,SENTRA,5,"['Nissan', 'SENTRA']", 6800000, 12782,Gasolina,1800 cc,Automática,Sedán,GRIS,GRIS,Termina en 9,Alajuela
2013,Nissan,VERSA,5,"['Nissan', 'VERSA']", 6800000, 12782,Gasolina,1600 cc,Automática,Sedán,AZUL,NEGRO,Termina en 6,Heredia
2011,Hyundai,SANTA FE GL,7,"['Hyundai', 'SANTA', 'FE', 'GL']", 6800000, 12782,Gasolina,2400 cc,Manual,Todo Terreno 4x2,GRIS,GRIS,Termina en 4,Heredia
2008,Nissan,FRONTIER,3,"['Nissan', 'FRONTIER']", 6800000, 12782,Diesel,2500 cc,Manual,Pickup 4x2,NEGRO,GRIS,Termina en 0,Limón
2017,Hyundai,ACCENT BLUE,5,"['Hyundai', 'ACCENT', 'BLUE']", 6800000, 12782,Gasolina,1400 cc,Manual,Sedán,GRIS,GRIS NEGRO,Termina en 1,San José
